,0,1,2,3,4
0,Cos,Arc,382,133,0.060362007
1,Cos,Arc,339,234,-0.21718152
2,Cos,Arc,284,79,0.08692501
3,Cos,Arc,117,191,-0.03209958
4,Cos,Arc,337,347,0.19941723
5,Cos,Arc,223,93,-0.01724638
6,Cos,Arc,361,143,0.15937316
7,Cos,Arc,380,136,0.014667399
8,Cos,Arc,6,390,0.22180852
9,Cos,Arc,331,200,0.16355927
10,Cos,Arc,208,85,0.11077562
11,Cos,Arc,109,229,0.2893361
12,Cos,Arc,174,262,0.066304095
13,Cos,Arc,317,25,-0.17742921
14,Cos,Arc,80,28,-0.013163762
15,Cos,Arc,92,264,0.08269344
16,Cos,Arc,158,268,0.102666266
17,Cos,Arc,189,154,0.13038178
18,Cos,Arc,173,366,0.28629348
19,Cos,Arc,312,256,-0.0006574463
20,Cos,Arc,314,47,0.23622505
21,Cos,Arc,236,212,-0.19763072
22,Cos,Arc,170,148,-0.07317183
23,Cos,Arc,278,279,-0.15819871
24,Cos,Arc,123,69,0.08609764
25,Cos,Arc,304,96,0.16670983
26,Cos,Arc,218,364,0.08719416
27,Cos,Arc,273,369,0.029645106
28,Cos,Arc,321,230,-0.17220767
29,Cos,Arc,115,155,-0.07706959
0,Cos,Arc,44,44,0.72457993
1,Cos,Arc,32,32,0.68054885
2,Cos,Arc,28,28,0.2537259
3,Cos,Arc,361,361,0.46930277
4,Cos,Arc,118,118,0.61430395
5,Cos,Arc,364,364,0.49400496
6,Cos,Arc,245,245,0.43616843
7,Cos,Arc,370,370,0.81391597
8,Cos,Arc,197,197,0.81342715
9,Cos,Arc,378,378,0.67136455
10,Cos,Arc,20,20,0.50178343
11,Cos,Arc,56,56,0.51098144
12,Cos,Arc,155,155,0.61731285
13,Cos,Arc,309,309,0.2064316
14,Cos,Arc,315,315,0.67479944
15,Cos,Arc,200,200,0.8290749
16,Cos,Arc,186,186,0.98365
17,Cos,Arc,132,132,0.5436361
18,Cos,Arc,60,60,0.7597703
19,Cos,Arc,27,27,0.7920149
20,Cos,Arc,246,246,0.66039366
21,Cos,Arc,125,125,0.6859285
22,Cos,Arc,15,15,0.5875796
23,Cos,Arc,36,36,0.7320457
24,Cos,Arc,74,74,0.3244894
25,Cos,Arc,389,389,0.48787704
26,Cos,Arc,127,127,0.885795
27,Cos,Arc,94,94,0.6419475
28,Cos,Arc,24,24,0.81138504
29,Cos,Arc,271,271,0.69725287
