,0,1,2,3,4
0,DAM,Arc,88,296,0.46848667
1,DAM,Arc,120,283,0.46606854
2,DAM,Arc,218,299,0.35559595
3,DAM,Arc,384,67,0.4512228
4,DAM,Arc,104,57,0.44531405
5,DAM,Arc,312,321,0.46754816
6,DAM,Arc,394,292,0.45689514
7,DAM,Arc,8,47,0.45600364
8,DAM,Arc,167,211,0.44966522
9,DAM,Arc,269,154,0.45947787
10,DAM,Arc,172,253,0.46125463
11,DAM,Arc,256,178,0.46955875
12,DAM,Arc,356,266,0.43757588
13,DAM,Arc,28,197,0.46615952
14,DAM,Arc,206,201,0.46955082
15,DAM,Arc,162,366,0.46294153
16,DAM,Arc,161,267,0.46207345
17,DAM,Arc,75,113,0.4759027
18,DAM,Arc,315,63,0.4568876
19,DAM,Arc,375,58,0.4670718
20,DAM,Arc,397,33,0.44565263
21,DAM,Arc,208,220,0.45799378
22,DAM,Arc,51,303,0.47341505
23,DAM,Arc,193,352,0.45662665
24,DAM,Arc,329,336,0.444555
25,DAM,Arc,290,139,0.45137736
26,DAM,Arc,62,203,0.43884483
27,DAM,Arc,275,204,0.45021707
28,DAM,Arc,91,302,0.46218583
29,DAM,Arc,337,190,0.45489782
0,DAM,Arc,335,335,0.48033124
1,DAM,Arc,291,291,0.48403978
2,DAM,Arc,78,78,0.48714045
3,DAM,Arc,181,181,0.4813692
4,DAM,Arc,62,62,0.48637077
5,DAM,Arc,31,31,0.49154767
6,DAM,Arc,127,127,0.4944132
7,DAM,Arc,227,227,0.48404545
8,DAM,Arc,64,64,0.4865787
9,DAM,Arc,377,377,0.48648608
10,DAM,Arc,81,81,0.47699246
11,DAM,Arc,222,222,0.48174456
12,DAM,Arc,77,77,0.4806146
13,DAM,Arc,197,197,0.48172206
14,DAM,Arc,363,363,0.48430488
15,DAM,Arc,288,288,0.49215063
16,DAM,Arc,343,343,0.4949915
17,DAM,Arc,359,359,0.4900911
18,DAM,Arc,48,48,0.4860847
19,DAM,Arc,302,302,0.4885432
20,DAM,Arc,399,399,0.48179984
21,DAM,Arc,12,12,0.49042338
22,DAM,Arc,318,318,0.4981681
23,DAM,Arc,255,255,0.49227715
24,DAM,Arc,57,57,0.48718485
25,DAM,Arc,89,89,0.49073657
26,DAM,Arc,345,345,0.4866984
27,DAM,Arc,71,71,0.48008114
28,DAM,Arc,231,231,0.4831109
29,DAM,Arc,355,355,0.48659188
