,0,1,2,3,4
0,L2,Arc,107,372,13.184529
1,L2,Arc,397,356,15.1307745
2,L2,Arc,214,391,12.685936
3,L2,Arc,241,168,14.385996
4,L2,Arc,44,213,10.931571
5,L2,Arc,385,210,11.876133
6,L2,Arc,66,88,15.58749
7,L2,Arc,55,218,14.077666
8,L2,Arc,130,82,16.277481
9,L2,Arc,195,323,12.929758
10,L2,Arc,290,234,15.071833
11,L2,Arc,169,334,14.371458
12,L2,Arc,354,128,15.974913
13,L2,Arc,233,292,12.855589
14,L2,Arc,74,312,14.203645
15,L2,Arc,399,355,15.992321
16,L2,Arc,200,361,10.727102
17,L2,Arc,100,360,15.478328
18,L2,Arc,242,175,15.80222
19,L2,Arc,321,56,15.00907
20,L2,Arc,13,65,14.909457
21,L2,Arc,170,1,12.67994
22,L2,Arc,319,347,14.879455
23,L2,Arc,152,279,10.053881
24,L2,Arc,349,132,33.989048
25,L2,Arc,46,370,15.598164
26,L2,Arc,332,102,14.236409
27,L2,Arc,84,382,14.704498
28,L2,Arc,258,269,10.281856
29,L2,Arc,304,222,16.430086
0,L2,Arc,215,215,7.6173663
1,L2,Arc,41,41,6.2895103
2,L2,Arc,7,7,7.231697
3,L2,Arc,340,340,7.8469543
4,L2,Arc,309,309,3.3177707
5,L2,Arc,149,149,8.321094
6,L2,Arc,341,341,8.538545
7,L2,Arc,312,312,11.728254
8,L2,Arc,195,195,8.171552
9,L2,Arc,159,159,10.069221
10,L2,Arc,178,178,8.884848
11,L2,Arc,164,164,7.716424
12,L2,Arc,199,199,7.9466887
13,L2,Arc,111,111,10.283796
14,L2,Arc,231,231,9.380726
15,L2,Arc,319,319,6.103951
16,L2,Arc,105,105,9.610494
17,L2,Arc,270,270,10.719512
18,L2,Arc,177,177,8.414611
19,L2,Arc,362,362,8.181511
20,L2,Arc,300,300,10.0311165
21,L2,Arc,120,120,7.7687144
22,L2,Arc,205,205,7.829981
23,L2,Arc,377,377,11.240841
24,L2,Arc,110,110,4.333195
25,L2,Arc,90,90,9.087653
26,L2,Arc,188,188,4.685753
27,L2,Arc,103,103,5.741695
28,L2,Arc,157,157,7.69115
29,L2,Arc,335,335,7.5029297
