,0,1,2,3,4
0,L2,Cos,3509,89,14.274322
1,L2,Cos,1889,909,12.314623
2,L2,Cos,2149,259,13.692364
3,L2,Cos,3559,2979,13.01308
4,L2,Cos,1519,2849,11.774232
5,L2,Cos,3229,2339,13.208555
6,L2,Cos,599,1539,14.891052
7,L2,Cos,29,3919,11.898775
8,L2,Cos,469,1779,9.766319
9,L2,Cos,3469,2299,10.629847
10,L2,Cos,1569,3739,13.089215
11,L2,Cos,2039,279,11.252967
12,L2,Cos,3079,3419,13.577439
13,L2,Cos,3349,2709,12.709661
14,L2,Cos,1229,2009,13.450533
15,L2,Cos,3409,3029,13.187992
16,L2,Cos,1309,2799,11.510637
17,L2,Cos,2189,389,13.239941
18,L2,Cos,449,2659,12.262069
19,L2,Cos,999,2479,11.414001
20,L2,Cos,839,539,9.6487875
21,L2,Cos,1759,3839,11.926888
22,L2,Cos,3039,1579,12.822246
23,L2,Cos,49,3789,13.541583
24,L2,Cos,669,3909,13.394952
25,L2,Cos,39,2099,13.441212
26,L2,Cos,3279,3929,11.686864
27,L2,Cos,2869,1259,12.6605835
28,L2,Cos,1679,2839,14.363738
29,L2,Cos,1839,2269,14.1558695
0,L2,Cos,719,719,10.163449
1,L2,Cos,1349,1349,12.285821
2,L2,Cos,3409,3409,11.007664
3,L2,Cos,3909,3909,12.826122
4,L2,Cos,3229,3229,11.7971735
5,L2,Cos,2049,2049,13.003425
6,L2,Cos,459,459,12.375489
7,L2,Cos,1519,1519,12.572684
8,L2,Cos,1789,1789,13.321434
9,L2,Cos,279,279,10.214714
10,L2,Cos,969,969,11.188416
11,L2,Cos,1629,1629,11.19232
12,L2,Cos,2119,2119,11.775247
13,L2,Cos,1619,1619,12.524314
14,L2,Cos,2769,2769,13.514582
15,L2,Cos,4019,4019,12.521396
16,L2,Cos,59,59,13.706135
17,L2,Cos,3919,3919,13.824714
18,L2,Cos,2219,2219,11.43002
19,L2,Cos,139,139,15.271955
20,L2,Cos,2919,2919,9.622778
21,L2,Cos,2879,2879,16.884083
22,L2,Cos,3759,3759,10.694078
23,L2,Cos,249,249,13.745214
24,L2,Cos,1269,1269,9.831836
25,L2,Cos,3569,3569,10.548567
26,L2,Cos,3789,3789,14.271972
27,L2,Cos,1489,1489,10.039075
28,L2,Cos,2439,2439,11.834357
29,L2,Cos,1899,1899,13.184833
30,L2,Cos,1959,1959,10.992313
31,L2,Cos,79,79,13.106742
32,L2,Cos,3679,3679,10.778941
33,L2,Cos,1779,1779,12.036815
34,L2,Cos,2719,2719,7.676353
35,L2,Cos,819,819,11.595959
36,L2,Cos,1639,1639,10.534249
37,L2,Cos,3099,3099,12.531621
38,L2,Cos,3309,3309,11.486983
39,L2,Cos,3139,3139,9.727982
40,L2,Cos,1979,1979,10.324978
41,L2,Cos,2729,2729,12.8782
42,L2,Cos,529,529,10.914112
43,L2,Cos,1579,1579,13.179018
44,L2,Cos,2249,2249,11.175261
45,L2,Cos,2469,2469,11.030796
46,L2,Cos,3279,3279,10.844757
47,L2,Cos,1869,1869,11.41181
48,L2,Cos,1369,1369,14.409793
49,L2,Cos,3249,3249,10.178426
50,L2,Cos,3549,3549,9.30247
51,L2,Cos,2459,2459,10.623293
52,L2,Cos,1179,1179,12.48825
53,L2,Cos,679,679,14.549075
54,L2,Cos,3709,3709,13.365484
55,L2,Cos,2569,2569,12.587927
56,L2,Cos,1809,1809,12.644537
57,L2,Cos,49,49,13.580836
58,L2,Cos,2329,2329,10.898727
59,L2,Cos,1069,1069,11.851417
