,0,1,2,3,4
0,Cos,Cos,114,192,0.16849716
1,Cos,Cos,298,106,0.19846658
2,Cos,Cos,218,26,0.09196894
3,Cos,Cos,54,13,-0.07739465
4,Cos,Cos,105,340,0.11749044
5,Cos,Cos,0,94,0.14352503
6,Cos,Cos,364,2,0.08899395
7,Cos,Cos,361,234,0.06546409
8,Cos,Cos,89,371,0.0055253566
9,Cos,Cos,62,280,0.08160066
10,Cos,Cos,50,68,0.20746349
11,Cos,Cos,318,28,-0.036444332
12,Cos,Cos,211,164,-0.052811094
13,Cos,Cos,241,320,0.14929022
14,Cos,Cos,95,176,-0.049025115
15,Cos,Cos,300,108,-0.09325359
16,Cos,Cos,265,12,-0.08374821
17,Cos,Cos,310,177,0.17066218
18,Cos,Cos,32,179,0.18698736
19,Cos,Cos,17,289,0.46339107
20,Cos,Cos,249,359,0.11712531
21,Cos,Cos,158,299,0.1924057
22,Cos,Cos,110,282,0.008837562
23,Cos,Cos,87,169,0.12653919
24,Cos,Cos,66,173,-0.024471955
25,Cos,Cos,210,214,0.13407932
26,Cos,Cos,129,184,-0.0342388
27,Cos,Cos,351,362,-0.09352973
28,Cos,Cos,337,315,0.10027096
29,Cos,Cos,312,117,-0.020913858
0,Cos,Cos,226,226,0.47031948
1,Cos,Cos,367,367,0.5526853
2,Cos,Cos,104,104,0.23648475
3,Cos,Cos,139,139,0.4169584
4,Cos,Cos,241,241,0.8059143
5,Cos,Cos,105,105,0.6510741
6,Cos,Cos,182,182,0.6404407
7,Cos,Cos,25,25,0.500479
8,Cos,Cos,180,180,0.7795178
9,Cos,Cos,314,314,0.6934995
10,Cos,Cos,216,216,0.7033276
11,Cos,Cos,165,165,0.56571835
12,Cos,Cos,377,377,0.41031784
13,Cos,Cos,338,338,0.8186158
14,Cos,Cos,391,391,0.8199446
15,Cos,Cos,37,37,0.5909824
16,Cos,Cos,176,176,0.30597225
17,Cos,Cos,1,1,0.49817175
18,Cos,Cos,358,358,0.6059366
19,Cos,Cos,34,34,0.80022156
20,Cos,Cos,317,317,0.5126738
21,Cos,Cos,145,145,0.16801883
22,Cos,Cos,357,357,0.6107365
23,Cos,Cos,192,192,0.5091462
24,Cos,Cos,101,101,0.31756356
25,Cos,Cos,54,54,0.7084619
26,Cos,Cos,69,69,0.40259364
27,Cos,Cos,304,304,0.77569515
28,Cos,Cos,99,99,0.43045726
29,Cos,Cos,39,39,0.73050815
