,0,1,2,3,4
0,DAM,Cos,272,217,0.4580866
1,DAM,Cos,358,342,0.48501053
2,DAM,Cos,2,32,0.44654867
3,DAM,Cos,92,109,0.46629062
4,DAM,Cos,234,213,0.48194423
5,DAM,Cos,341,325,0.4542467
6,DAM,Cos,155,101,0.45270345
7,DAM,Cos,294,123,0.4730234
8,DAM,Cos,256,291,0.4514631
9,DAM,Cos,99,66,0.4664202
10,DAM,Cos,114,230,0.47045994
11,DAM,Cos,253,46,0.4482775
12,DAM,Cos,328,330,0.44424096
13,DAM,Cos,161,255,0.47492674
14,DAM,Cos,210,387,0.4462291
15,DAM,Cos,270,211,0.44071928
16,DAM,Cos,52,304,0.4716374
17,DAM,Cos,89,157,0.4427283
18,DAM,Cos,307,152,0.46667662
19,DAM,Cos,244,205,0.4610713
20,DAM,Cos,393,207,0.46450546
21,DAM,Cos,305,370,0.43489975
22,DAM,Cos,221,183,0.42740196
23,DAM,Cos,378,300,0.442321
24,DAM,Cos,193,149,0.4463344
25,DAM,Cos,150,247,0.46017006
26,DAM,Cos,257,273,0.451932
27,DAM,Cos,132,160,0.4543343
28,DAM,Cos,119,380,0.47106174
29,DAM,Cos,58,87,0.47069848
0,DAM,Cos,236,236,0.48003954
1,DAM,Cos,314,314,0.48559326
2,DAM,Cos,45,45,0.48625135
3,DAM,Cos,325,325,0.47847232
4,DAM,Cos,275,275,0.48848346
5,DAM,Cos,120,120,0.49097943
6,DAM,Cos,354,354,0.47406754
7,DAM,Cos,76,76,0.4562426
8,DAM,Cos,238,238,0.48118964
9,DAM,Cos,5,5,0.48313636
10,DAM,Cos,254,254,0.48650935
11,DAM,Cos,260,260,0.49178085
12,DAM,Cos,375,375,0.48194233
13,DAM,Cos,213,213,0.48268682
14,DAM,Cos,136,136,0.4791801
15,DAM,Cos,55,55,0.4825303
16,DAM,Cos,98,98,0.4937539
17,DAM,Cos,157,157,0.49024913
18,DAM,Cos,111,111,0.48204395
19,DAM,Cos,173,173,0.48884663
20,DAM,Cos,222,222,0.48752826
21,DAM,Cos,352,352,0.48295656
22,DAM,Cos,279,279,0.48893237
23,DAM,Cos,396,396,0.48761353
24,DAM,Cos,341,341,0.48999423
25,DAM,Cos,342,342,0.49389747
26,DAM,Cos,190,190,0.48106086
27,DAM,Cos,288,288,0.47023156
28,DAM,Cos,383,383,0.48384345
29,DAM,Cos,388,388,0.49043202
