,0,1,2,3,4
0,Cos,Mag,1239,4019,0.39452544
1,Cos,Mag,3549,109,0.12894407
2,Cos,Mag,2609,619,0.25026938
3,Cos,Mag,3929,459,0.16657093
4,Cos,Mag,3049,3359,0.29805413
5,Cos,Mag,2129,1719,0.37957475
6,Cos,Mag,909,3149,0.14026888
7,Cos,Mag,609,3059,0.2749449
8,Cos,Mag,2519,3369,0.019229766
9,Cos,Mag,2189,229,-0.038011774
10,Cos,Mag,1609,3089,0.37366772
11,Cos,Mag,519,2229,0.15565771
12,Cos,Mag,59,3499,0.17858613
13,Cos,Mag,1709,869,0.21471077
14,Cos,Mag,1289,2549,0.24953933
15,Cos,Mag,1169,29,0.2907043
16,Cos,Mag,1519,1449,0.049168263
17,Cos,Mag,2999,1189,0.012879662
18,Cos,Mag,539,1759,0.27952978
19,Cos,Mag,659,2839,-0.030436944
20,Cos,Mag,2109,3109,0.13459907
21,Cos,Mag,3379,2149,0.16110453
22,Cos,Mag,1109,2619,0.27888125
23,Cos,Mag,3069,249,0.44102952
24,Cos,Mag,2849,3839,0.11055186
25,Cos,Mag,569,99,0.2923648
26,Cos,Mag,339,589,0.1499585
27,Cos,Mag,299,3509,0.14030932
28,Cos,Mag,89,1819,0.14562076
29,Cos,Mag,3009,2079,0.2881419
0,Cos,Mag,3909,3909,0.6815049
1,Cos,Mag,3759,3759,0.40992254
2,Cos,Mag,1559,1559,0.022087319
3,Cos,Mag,789,789,0.0952845
4,Cos,Mag,1759,1759,0.20148425
5,Cos,Mag,489,489,0.25101593
6,Cos,Mag,1089,1089,0.44022557
7,Cos,Mag,269,269,0.26191247
8,Cos,Mag,1889,1889,0.6964935
9,Cos,Mag,329,329,0.63667667
10,Cos,Mag,2009,2009,0.42857084
11,Cos,Mag,2069,2069,0.30357337
12,Cos,Mag,449,449,0.41101092
13,Cos,Mag,249,249,0.35681266
14,Cos,Mag,3469,3469,0.557676
15,Cos,Mag,1509,1509,0.44308433
16,Cos,Mag,3079,3079,0.28809968
17,Cos,Mag,129,129,0.48086047
18,Cos,Mag,3939,3939,0.594345
19,Cos,Mag,3299,3299,0.46026364
20,Cos,Mag,2739,2739,0.4327146
21,Cos,Mag,519,519,0.40645254
22,Cos,Mag,1269,1269,0.53618497
23,Cos,Mag,3459,3459,0.6440997
24,Cos,Mag,759,759,0.5567829
25,Cos,Mag,2499,2499,0.33497584
26,Cos,Mag,3489,3489,0.49031997
27,Cos,Mag,1929,1929,0.5103898
28,Cos,Mag,3609,3609,0.7334621
29,Cos,Mag,1209,1209,0.5164072
30,Cos,Mag,3279,3279,0.54859626
31,Cos,Mag,2079,2079,0.11730672
32,Cos,Mag,3779,3779,0.4928159
33,Cos,Mag,3989,3989,0.14844383
34,Cos,Mag,3769,3769,0.468004
35,Cos,Mag,209,209,0.3038671
36,Cos,Mag,1039,1039,0.4036908
37,Cos,Mag,3089,3089,0.7093385
38,Cos,Mag,2429,2429,0.42196319
39,Cos,Mag,3219,3219,-0.061054043
40,Cos,Mag,2669,2669,0.34960544
41,Cos,Mag,2539,2539,0.29113656
42,Cos,Mag,2859,2859,0.63799554
43,Cos,Mag,709,709,0.5779833
44,Cos,Mag,2239,2239,0.6184578
45,Cos,Mag,3899,3899,0.3734521
46,Cos,Mag,1149,1149,0.5287366
47,Cos,Mag,2849,2849,0.38768232
48,Cos,Mag,1469,1469,0.6872109
49,Cos,Mag,3369,3369,0.32374424
50,Cos,Mag,1129,1129,0.39704686
51,Cos,Mag,3669,3669,0.26756647
52,Cos,Mag,1779,1779,0.23026036
53,Cos,Mag,2389,2389,0.5676123
54,Cos,Mag,3439,3439,0.37319705
55,Cos,Mag,2699,2699,0.5597722
56,Cos,Mag,2659,2659,0.406156
57,Cos,Mag,2629,2629,0.24693072
58,Cos,Mag,379,379,0.57519937
59,Cos,Mag,629,629,0.30675176
