,0,1,2,3,4
0,DAM,Mag,2689,3569,0.44450492
1,DAM,Mag,659,3709,0.44913653
2,DAM,Mag,3409,3259,0.46647078
3,DAM,Mag,1629,1309,0.442245
4,DAM,Mag,139,839,0.4548923
5,DAM,Mag,2879,2079,0.4435441
6,DAM,Mag,1199,2779,0.44903982
7,DAM,Mag,129,2909,0.4685663
8,DAM,Mag,3179,2699,0.4711604
9,DAM,Mag,1689,1949,0.4842111
10,DAM,Mag,589,2299,0.43206862
11,DAM,Mag,3799,1769,0.4596649
12,DAM,Mag,529,3499,0.4166391
13,DAM,Mag,1519,209,0.4466591
14,DAM,Mag,2639,3249,0.46323785
15,DAM,Mag,119,1349,0.4790137
16,DAM,Mag,3169,559,0.46661505
17,DAM,Mag,3869,1369,0.4628141
18,DAM,Mag,2069,279,0.4726763
19,DAM,Mag,549,2479,0.46985063
20,DAM,Mag,1829,2429,0.42485166
21,DAM,Mag,3099,3349,0.48362255
22,DAM,Mag,3789,2329,0.44140506
23,DAM,Mag,3449,3529,0.44322473
24,DAM,Mag,2239,2729,0.41652566
25,DAM,Mag,1449,2749,0.45342264
26,DAM,Mag,409,699,0.40392885
27,DAM,Mag,539,1019,0.47645536
28,DAM,Mag,3029,39,0.4096114
29,DAM,Mag,2989,4009,0.45515406
0,DAM,Mag,1219,1219,0.49295306
1,DAM,Mag,1059,1059,0.47032547
2,DAM,Mag,1629,1629,0.49397084
3,DAM,Mag,3999,3999,0.49882275
4,DAM,Mag,2529,2529,0.45463237
5,DAM,Mag,1239,1239,0.49717292
6,DAM,Mag,1359,1359,0.51057255
7,DAM,Mag,2609,2609,0.45795867
8,DAM,Mag,879,879,0.48899832
9,DAM,Mag,2199,2199,0.47334903
10,DAM,Mag,419,419,0.49092034
11,DAM,Mag,3729,3729,0.4854765
12,DAM,Mag,3989,3989,0.43014368
13,DAM,Mag,3599,3599,0.47166637
14,DAM,Mag,99,99,0.5537615
15,DAM,Mag,799,799,0.4955856
16,DAM,Mag,729,729,0.49842688
17,DAM,Mag,3329,3329,0.48967066
18,DAM,Mag,1599,1599,0.50537294
19,DAM,Mag,1479,1479,0.46566364
20,DAM,Mag,2519,2519,0.521144
21,DAM,Mag,1639,1639,0.4971446
22,DAM,Mag,1779,1779,0.46375543
23,DAM,Mag,3589,3589,0.5122524
24,DAM,Mag,2669,2669,0.47120008
25,DAM,Mag,3939,3939,0.46150544
26,DAM,Mag,1849,1849,0.4911199
27,DAM,Mag,1459,1459,0.5391037
28,DAM,Mag,1999,1999,0.45595276
29,DAM,Mag,499,499,0.4640933
30,DAM,Mag,1569,1569,0.47332513
31,DAM,Mag,2389,2389,0.47365785
32,DAM,Mag,2019,2019,0.51788086
33,DAM,Mag,3239,3239,0.4990758
34,DAM,Mag,2509,2509,0.46909967
35,DAM,Mag,3279,3279,0.46922866
36,DAM,Mag,479,479,0.53803325
37,DAM,Mag,1209,1209,0.466549
38,DAM,Mag,409,409,0.4693106
39,DAM,Mag,2969,2969,0.49941376
40,DAM,Mag,1529,1529,0.50632745
41,DAM,Mag,3249,3249,0.45760992
42,DAM,Mag,389,389,0.4734773
43,DAM,Mag,649,649,0.48036215
44,DAM,Mag,329,329,0.48116338
45,DAM,Mag,2329,2329,0.47316882
46,DAM,Mag,9,9,0.458579
47,DAM,Mag,2559,2559,0.47374997
48,DAM,Mag,169,169,0.48689952
49,DAM,Mag,3219,3219,0.44597134
50,DAM,Mag,1969,1969,0.5386597
51,DAM,Mag,759,759,0.5207034
52,DAM,Mag,2649,2649,0.5270982
53,DAM,Mag,699,699,0.4666849
54,DAM,Mag,199,199,0.47372997
55,DAM,Mag,3879,3879,0.46305966
56,DAM,Mag,3029,3029,0.46737295
57,DAM,Mag,2639,2639,0.49844795
58,DAM,Mag,3959,3959,0.4752233
59,DAM,Mag,3519,3519,0.4750506
