,0,1,2,3,4
0,L2,Mag,2889,3419,22.847645
1,L2,Mag,109,2759,22.033731
2,L2,Mag,569,1279,21.36399
3,L2,Mag,3749,2329,20.415125
4,L2,Mag,1249,1139,20.426111
5,L2,Mag,1649,989,21.647997
6,L2,Mag,319,3639,19.339035
7,L2,Mag,189,1179,21.152061
8,L2,Mag,129,2379,22.025196
9,L2,Mag,1609,2039,22.147314
10,L2,Mag,1659,639,20.868107
11,L2,Mag,1169,469,24.06273
12,L2,Mag,1839,479,22.09126
13,L2,Mag,2269,2339,20.936066
14,L2,Mag,1789,649,20.765888
15,L2,Mag,1929,2909,24.258102
16,L2,Mag,2089,1829,24.052973
17,L2,Mag,2129,3059,21.978937
18,L2,Mag,609,2359,21.942965
19,L2,Mag,3669,2799,19.257133
20,L2,Mag,349,39,23.466557
21,L2,Mag,879,2579,19.357735
22,L2,Mag,749,2509,23.159294
23,L2,Mag,3089,1309,15.741547
24,L2,Mag,559,699,22.938213
25,L2,Mag,1569,3609,22.080975
26,L2,Mag,3839,99,25.431967
27,L2,Mag,1299,2619,21.854948
28,L2,Mag,3759,579,21.63736
29,L2,Mag,999,139,22.883646
0,L2,Mag,3659,3659,18.93463
1,L2,Mag,399,399,21.182632
2,L2,Mag,2749,2749,15.790133
3,L2,Mag,1459,1459,17.595692
4,L2,Mag,3849,3849,13.741742
5,L2,Mag,2559,2559,22.251003
6,L2,Mag,3069,3069,16.624226
7,L2,Mag,1969,1969,16.00527
8,L2,Mag,3079,3079,22.537195
9,L2,Mag,3039,3039,17.712376
10,L2,Mag,1279,1279,12.962448
11,L2,Mag,3279,3279,19.65613
12,L2,Mag,2819,2819,20.319872
13,L2,Mag,989,989,21.277458
14,L2,Mag,2779,2779,18.990137
15,L2,Mag,3539,3539,16.806934
17,L2,Mag,1829,1829,18.72509
18,L2,Mag,2719,2719,15.408513
19,L2,Mag,199,199,20.267231
20,L2,Mag,3209,3209,13.980153
21,L2,Mag,3839,3839,19.179518
22,L2,Mag,3329,3329,16.722435
23,L2,Mag,1339,1339,21.97751
24,L2,Mag,2599,2599,19.388914
25,L2,Mag,2579,2579,19.411304
26,L2,Mag,2709,2709,18.766365
27,L2,Mag,19,19,18.869118
28,L2,Mag,219,219,17.841051
29,L2,Mag,609,609,10.663587
30,L2,Mag,2529,2529,19.282785
31,L2,Mag,2929,2929,22.360386
32,L2,Mag,559,559,17.41666
33,L2,Mag,259,259,18.740828
34,L2,Mag,149,149,16.079872
35,L2,Mag,3619,3619,16.935192
36,L2,Mag,1609,1609,16.742691
37,L2,Mag,3499,3499,18.333773
38,L2,Mag,2639,2639,14.359901
39,L2,Mag,839,839,15.964252
40,L2,Mag,2569,2569,20.019623
41,L2,Mag,2429,2429,18.39047
42,L2,Mag,2989,2989,20.627035
43,L2,Mag,1679,1679,20.142403
44,L2,Mag,2089,2089,21.372152
45,L2,Mag,2959,2959,17.551792
46,L2,Mag,159,159,20.42166
47,L2,Mag,1229,1229,16.406185
48,L2,Mag,3229,3229,24.41781
49,L2,Mag,1949,1949,24.454885
50,L2,Mag,2379,2379,16.102867
51,L2,Mag,1849,1849,16.364744
52,L2,Mag,3639,3639,17.646065
53,L2,Mag,1449,1449,17.33311
54,L2,Mag,2219,2219,15.985407
55,L2,Mag,499,499,18.764406
56,L2,Mag,579,579,12.72514
57,L2,Mag,239,239,21.11973
58,L2,Mag,2109,2109,17.418308
59,L2,Mag,899,899,21.53243
