,0,1,2,3,4
0,Cos,Norm,1509,509,0.22641107
1,Cos,Norm,699,2129,0.23403192
2,Cos,Norm,219,1889,0.046727147
3,Cos,Norm,1629,989,0.06995691
4,Cos,Norm,949,1319,0.07099202
5,Cos,Norm,2589,1539,0.14526185
6,Cos,Norm,839,39,-0.00089601806
7,Cos,Norm,769,1129,0.7877871
8,Cos,Norm,979,2069,-0.019346572
9,Cos,Norm,189,819,-0.0063229203
10,Cos,Norm,159,3329,0.4769243
11,Cos,Norm,2169,1449,0.080325454
12,Cos,Norm,969,3009,-0.0072825826
13,Cos,Norm,2439,2729,0.001409801
14,Cos,Norm,169,2449,0.27625346
15,Cos,Norm,2219,389,0.016094012
16,Cos,Norm,3459,1849,0.39178154
17,Cos,Norm,309,2099,0.17134805
18,Cos,Norm,1459,2329,0.10574626
19,Cos,Norm,2619,2429,0.03045576
20,Cos,Norm,519,3509,0.05966797
21,Cos,Norm,3809,1219,0.11225655
22,Cos,Norm,3959,1669,0.06250076
23,Cos,Norm,1519,1799,0.012317241
24,Cos,Norm,3249,3039,0.10311032
25,Cos,Norm,1099,2889,0.0938753
26,Cos,Norm,3789,759,0.042129755
27,Cos,Norm,409,1409,0.25080496
28,Cos,Norm,3429,1109,0.11605827
29,Cos,Norm,2829,669,-0.03711151
0,Cos,Norm,3139,3139,0.26668268
1,Cos,Norm,2779,2779,0.29564536
2,Cos,Norm,1319,1319,0.1096602
3,Cos,Norm,1869,1869,0.90381837
4,Cos,Norm,3629,3629,0.017380342
5,Cos,Norm,3259,3259,0.1269347
6,Cos,Norm,1049,1049,0.24243379
7,Cos,Norm,1719,1719,0.0025779523
8,Cos,Norm,2209,2209,0.15310091
9,Cos,Norm,3499,3499,0.6032674
10,Cos,Norm,199,199,0.21949098
11,Cos,Norm,1979,1979,0.38562325
12,Cos,Norm,1609,1609,0.13184014
13,Cos,Norm,3459,3459,0.3869651
14,Cos,Norm,2879,2879,0.14136453
15,Cos,Norm,3489,3489,0.040029906
16,Cos,Norm,709,709,0.16107094
17,Cos,Norm,2649,2649,0.4293184
18,Cos,Norm,2429,2429,0.06420102
19,Cos,Norm,2589,2589,0.43361294
20,Cos,Norm,1039,1039,0.2694305
21,Cos,Norm,309,309,0.3187916
22,Cos,Norm,3569,3569,0.29345894
23,Cos,Norm,229,229,0.13880382
24,Cos,Norm,569,569,0.6498794
25,Cos,Norm,1199,1199,0.13649893
26,Cos,Norm,959,959,0.5929061
27,Cos,Norm,2309,2309,0.5388395
28,Cos,Norm,2699,2699,0.4453745
29,Cos,Norm,2289,2289,0.10442804
30,Cos,Norm,3329,3329,0.61667895
31,Cos,Norm,3009,3009,0.14932512
32,Cos,Norm,3019,3019,0.5044271
33,Cos,Norm,2489,2489,0.2547983
34,Cos,Norm,2379,2379,0.78308755
35,Cos,Norm,989,989,0.12952021
36,Cos,Norm,859,859,0.17583261
37,Cos,Norm,1179,1179,0.12896043
38,Cos,Norm,2319,2319,0.85992247
39,Cos,Norm,1649,1649,0.020044217
40,Cos,Norm,1249,1249,0.018106056
41,Cos,Norm,4019,4019,0.12971942
42,Cos,Norm,1859,1859,0.11180375
43,Cos,Norm,3049,3049,0.03136528
44,Cos,Norm,919,919,0.7276907
45,Cos,Norm,1779,1779,0.07206095
46,Cos,Norm,3949,3949,0.7253844
47,Cos,Norm,999,999,0.15077269
48,Cos,Norm,1729,1729,0.043219615
49,Cos,Norm,689,689,0.2948813
50,Cos,Norm,1089,1089,0.0036465412
51,Cos,Norm,2359,2359,0.31464884
52,Cos,Norm,159,159,0.25601554
53,Cos,Norm,3319,3319,0.5501674
54,Cos,Norm,1369,1369,-0.03702597
55,Cos,Norm,679,679,0.20176558
56,Cos,Norm,2599,2599,0.06982612
57,Cos,Norm,389,389,0.097429596
58,Cos,Norm,1409,1409,0.26857394
59,Cos,Norm,639,639,0.20072006
