,0,1,2,3,4
0,DAM,Norm,2639,1099,0.41601157
1,DAM,Norm,549,969,0.07352236
2,DAM,Norm,2429,2209,0.33219227
3,DAM,Norm,3529,659,0.29852346
4,DAM,Norm,3679,809,0.34693876
5,DAM,Norm,569,1239,0.09148577
6,DAM,Norm,719,109,0.23589075
7,DAM,Norm,3279,1339,0.38075152
8,DAM,Norm,3389,519,0.3546253
9,DAM,Norm,2779,619,0.12766632
10,DAM,Norm,1469,2099,0.27107105
11,DAM,Norm,3519,2799,0.15121125
12,DAM,Norm,869,2189,0.27435192
13,DAM,Norm,3089,1409,0.30896613
14,DAM,Norm,689,2899,0.20550029
15,DAM,Norm,3939,2019,0.30860636
16,DAM,Norm,2979,3499,0.1235708
17,DAM,Norm,679,3229,0.20380218
18,DAM,Norm,3969,1219,0.37241018
19,DAM,Norm,3219,959,0.3558576
20,DAM,Norm,2049,1359,0.2919786
21,DAM,Norm,649,2609,0.15831585
22,DAM,Norm,469,979,0.39192167
23,DAM,Norm,3429,1179,0.2778026
24,DAM,Norm,1969,1769,0.10891026
25,DAM,Norm,1059,3709,0.43949854
26,DAM,Norm,1539,749,0.32823664
27,DAM,Norm,3559,3879,0.22402912
28,DAM,Norm,2059,1569,0.20735434
29,DAM,Norm,229,329,0.34319848
0,DAM,Norm,339,339,0.36858496
1,DAM,Norm,2139,2139,0.2509068
2,DAM,Norm,1799,1799,0.28296232
3,DAM,Norm,1369,1369,0.2107137
4,DAM,Norm,2449,2449,0.26613426
6,DAM,Norm,2979,2979,0.1981482
7,DAM,Norm,2539,2539,0.4256893
8,DAM,Norm,1099,1099,0.3573208
9,DAM,Norm,1399,1399,0.18707836
10,DAM,Norm,1649,1649,0.14803317
11,DAM,Norm,1539,1539,0.24816366
12,DAM,Norm,3459,3459,0.47280428
13,DAM,Norm,2519,2519,0.4735383
14,DAM,Norm,39,39,0.32240695
15,DAM,Norm,639,639,0.27700657
16,DAM,Norm,1139,1139,0.31662455
17,DAM,Norm,2649,2649,0.2888619
18,DAM,Norm,2849,2849,0.41925818
19,DAM,Norm,1979,1979,0.45208922
20,DAM,Norm,3819,3819,0.19248779
21,DAM,Norm,2729,2729,0.2802424
22,DAM,Norm,2629,2629,0.19010974
23,DAM,Norm,2669,2669,0.43003786
24,DAM,Norm,1859,1859,0.40344697
25,DAM,Norm,1499,1499,0.28826618
26,DAM,Norm,2699,2699,0.53731155
27,DAM,Norm,3889,3889,0.27114367
28,DAM,Norm,2099,2099,0.15069966
29,DAM,Norm,1449,1449,0.42271858
30,DAM,Norm,579,579,0.37581685
31,DAM,Norm,3549,3549,0.33433464
32,DAM,Norm,159,159,0.304555
33,DAM,Norm,369,369,0.022492679
34,DAM,Norm,2469,2469,0.4896951
35,DAM,Norm,119,119,0.48376194
36,DAM,Norm,1779,1779,0.22779047
37,DAM,Norm,869,869,0.24735184
38,DAM,Norm,3749,3749,0.22303791
39,DAM,Norm,1989,1989,0.42247123
40,DAM,Norm,3609,3609,0.34025598
41,DAM,Norm,1819,1819,0.315803
42,DAM,Norm,199,199,0.35722005
43,DAM,Norm,2049,2049,0.33054402
44,DAM,Norm,1179,1179,0.36488327
45,DAM,Norm,509,509,0.35069832
46,DAM,Norm,529,529,0.32555416
47,DAM,Norm,2559,2559,1.3796173
48,DAM,Norm,589,589,0.43036532
49,DAM,Norm,1319,1319,0.25567472
50,DAM,Norm,3479,3479,0.41647765
51,DAM,Norm,3239,3239,0.26108488
52,DAM,Norm,459,459,0.29781392
53,DAM,Norm,1729,1729,0.27834508
54,DAM,Norm,2779,2779,0.020434868
55,DAM,Norm,1429,1429,0.43492216
56,DAM,Norm,179,179,0.60664845
57,DAM,Norm,1189,1189,0.23377956
58,DAM,Norm,1599,1599,0.14717707
59,DAM,Norm,3729,3729,0.09707578
