,0,1,2,3,4
0,L2,Norm,349,2419,47.76707
1,L2,Norm,99,3759,53.538128
2,L2,Norm,569,2169,44.58708
3,L2,Norm,3289,2899,51.72875
4,L2,Norm,1339,809,60.218536
5,L2,Norm,2309,139,89.298195
6,L2,Norm,1669,649,54.90563
7,L2,Norm,1679,369,47.38851
8,L2,Norm,679,1619,35.351723
9,L2,Norm,3449,919,43.16767
10,L2,Norm,3789,289,37.592377
11,L2,Norm,2499,439,31.81763
12,L2,Norm,2839,2909,51.861225
13,L2,Norm,3229,659,70.656815
14,L2,Norm,1009,1509,27.989855
15,L2,Norm,2869,1539,48.32264
16,L2,Norm,3709,759,45.777405
17,L2,Norm,1179,1109,47.973522
18,L2,Norm,2429,949,64.12315
19,L2,Norm,219,3189,42.54424
20,L2,Norm,849,3619,34.951916
21,L2,Norm,3719,2329,69.00566
22,L2,Norm,3429,2859,76.24396
23,L2,Norm,399,2889,37.901924
24,L2,Norm,799,2979,55.55364
25,L2,Norm,1479,959,57.107185
26,L2,Norm,599,9,59.362663
27,L2,Norm,3489,3049,80.72962
28,L2,Norm,1719,3389,67.71519
29,L2,Norm,3409,1419,40.396435
0,L2,Norm,49,49,41.489086
1,L2,Norm,199,199,33.389572
2,L2,Norm,3439,3439,28.34994
3,L2,Norm,1469,1469,22.588448
4,L2,Norm,3219,3219,36.53772
5,L2,Norm,3959,3959,42.625477
6,L2,Norm,3799,3799,78.60351
7,L2,Norm,749,749,52.462894
8,L2,Norm,1389,1389,89.89554
9,L2,Norm,1819,1819,33.342953
10,L2,Norm,649,649,45.490616
11,L2,Norm,239,239,79.67951
12,L2,Norm,1599,1599,43.493507
13,L2,Norm,2939,2939,57.718414
14,L2,Norm,3479,3479,42.33307
15,L2,Norm,3609,3609,46.819637
16,L2,Norm,1649,1649,27.005163
17,L2,Norm,529,529,45.74153
18,L2,Norm,2009,2009,46.009758
19,L2,Norm,2139,2139,51.965904
20,L2,Norm,149,149,26.88574
21,L2,Norm,1899,1899,48.987446
22,L2,Norm,159,159,32.173656
23,L2,Norm,1829,1829,38.76719
24,L2,Norm,3189,3189,31.39816
25,L2,Norm,1689,1689,58.02229
26,L2,Norm,2099,2099,75.29676
27,L2,Norm,2899,2899,36.87185
28,L2,Norm,659,659,57.588287
29,L2,Norm,1399,1399,38.196278
30,L2,Norm,279,279,42.16528
31,L2,Norm,219,219,148.1248
32,L2,Norm,629,629,44.931255
33,L2,Norm,1339,1339,40.215282
34,L2,Norm,739,739,48.206875
35,L2,Norm,2069,2069,47.351665
36,L2,Norm,1269,1269,89.75066
37,L2,Norm,1459,1459,41.027462
39,L2,Norm,2959,2959,60.318645
40,L2,Norm,2399,2399,85.23789
41,L2,Norm,2989,2989,56.499123
42,L2,Norm,2839,2839,63.646194
43,L2,Norm,3669,3669,80.75989
44,L2,Norm,3099,3099,41.384823
45,L2,Norm,3719,3719,46.418934
46,L2,Norm,2109,2109,61.687134
47,L2,Norm,1779,1779,61.75285
48,L2,Norm,399,399,36.89853
49,L2,Norm,1179,1179,41.935074
50,L2,Norm,999,999,27.574032
51,L2,Norm,2259,2259,39.189648
52,L2,Norm,2079,2079,53.321896
53,L2,Norm,1019,1019,32.826878
54,L2,Norm,3449,3449,96.19548
55,L2,Norm,3229,3229,66.06198
56,L2,Norm,39,39,41.992813
57,L2,Norm,609,609,32.778408
58,L2,Norm,2419,2419,89.46429
59,L2,Norm,3319,3319,27.098312
