,0,1,2
0,297,230,0.07854326
1,315,45,0.1264845
2,63,66,0.00022807407
3,301,87,0.25834042
4,342,142,0.08192457
5,39,225,0.1355789
6,358,252,0.15606761
7,64,182,0.00024398479
8,105,244,0.048244473
9,34,217,0.066757165
10,51,284,0.22958784
11,300,310,0.08070881
12,341,322,0.006060867
13,357,398,0.081437536
14,171,213,0.06559227
15,33,363,0.009324768
16,373,247,0.00021848701
17,279,352,0.0004189815
18,233,237,0.17279613
19,170,102,0.0050418694
20,204,337,0.11506521
21,241,376,0.25105837
22,91,103,0.036773127
23,239,94,0.018212833
24,276,43,0.23100756
25,59,399,0.09613748
26,5,56,0.004135767
27,60,278,0.04752115
28,71,228,0.024620568
29,262,54,0.0012064201
30,151,110,0.1820413
31,20,328,0.1200621
32,86,348,0.0015234805
33,316,227,0.081009045
34,353,118,0.15012497
35,286,153,0.13506438
36,16,226,0.08210994
37,397,116,0.03503672
38,126,181,0.007282239
39,80,124,0.015076626
40,117,165,0.04656179
41,257,123,0.13480058
42,109,135,0.14511839
43,308,381,0.23117489
44,67,282,0.12909769
45,11,174,3.1226928e-06
46,349,306,0.35878673
47,166,35,0.068698004
48,209,323,0.017774926
49,250,329,0.13358009
0,154,154,0.21771303
1,58,58,0.37808168
2,225,225,0.21378243
3,44,44,0.60523933
4,209,209,0.3688427
5,11,11,6.890104
6,113,113,2.704418
7,210,210,0.029696397
8,244,244,0.31400368
9,346,346,0.3347719
10,262,262,0.31642887
11,124,124,0.7322344
12,369,369,0.43123612
13,139,139,0.47179103
14,330,330,0.28977516
15,174,174,0.70632166
16,239,239,0.20928292
17,23,23,0.31581333
18,292,292,0.06769182
19,125,125,0.22762205
20,12,12,0.42032838
21,247,247,0.1970432
22,360,360,0.264013
23,22,22,0.13224626
24,386,386,0.2666072
25,317,317,4.18075
26,56,56,0.5811153
27,341,341,0.28061786
28,166,166,0.52846116
29,268,268,0.387712
30,33,33,0.49186125
31,356,356,1.2588661
32,92,92,0.04550983
33,196,196,8.363969
34,90,90,0.1753558
35,6,6,0.22651085
36,64,64,4.01083
37,363,363,0.49945724
38,383,383,2.4411294
39,374,374,0.16503772
40,345,345,0.05642085
41,10,10,0.4220583
42,128,128,0.3960773
43,329,329,0.33801717
44,255,255,0.6598072
45,2,2,0.33103362
46,358,358,1.4712098
47,41,41,6.829691
48,104,104,0.66590315
49,293,293,0.19402893
